2.74194	-241.338	1141.33	-8.4958	5283.72	3
2.90323	-219.721	1003.15	-4.0476	3433.98	3
3.06452	-203.156	891.077	-0.5852	2727.42	3
3.22581	-189.203	882.184	1.6646	2311.74	3
3.3871	-176.217	808.711	-3.1704	1724.71	3
3.54839	-166.456	777.428	-1.8128	1469.88	3
3.70968	-157.037	747.409	0.2396	1276.91	3
3.87097	-148.293	701.884	0.1276	1179.31	3
4.03226	-141.586	698.696	1.0392	1105.86	3
4.19355	-134.717	662.091	0.5976	953.792	3
4.35484	-129.197	669.746	0.1654	917.275	3
4.51613	-123.343	659.527	-0.233	843.013	3
4.67742	-118.431	656.131	0.682	811.718	3
4.83871	-113.657	628.039	-1.0718	730.049	3
5	-109.838	613.43	0.755	739.126	3
0	-512	0	-256	0	4
0.16129	-512	0	-256	0	4
0.322581	-512	0	-256	0	4
0.483871	-512	0	-256	0	4
0.645161	-511.996	0.031984	-255.999	0.001999	4
0.806452	-511.89	0.877588	-255.973	0.0548492	4
0.967742	-511.451	4.45402	-255.861	0.291823	4
1.12903	-510.025	16.8922	-255.487	1.20584	4
1.29032	-507.049	41.4752	-254.694	3.16809	4
1.45161	-501.714	90.5006	-253.206	7.58716	4
1.6129	-493.147	175.526	-250.643	17.9382	4
1.77419	-478.974	321.388	-246.007	43.1895	4
1.93548	-457.244	610.644	-237.362	169.207	4
2.09677	-427	1079.15	-223.289	450.248	4
2.25806	-378.106	1766.58	180.35	5590.93	4
2.41935	-316.751	1947.43	18.43	19740.4	4
2.58065	-268.84	1337.55	-8.4184	8869.08	4
2.74194	-240.754	1120.86	1.3782	5153.48	4
2.90323	-219.163	987.13	2.5152	3674.87	4
3.06452	-203.364	881.077	-1.6788	2698.21	4
3.22581	-189.232	837.983	-2.739	2288.06	4
3.3871	-176.028	800.83	0.2272	1697.77	4
3.54839	-165.375	760.438	0.5586	1520.51	4
3.70968	-156.304	717.954	0.5176	1308.52	4
3.87097	-148.564	724.18	-0.2456	1150.02	4
4.03226	-141.522	693.522	-0.7546	1095.62	4
4.19355	-135.068	690.008	-0.7502	983.138	4
4.35484	-128.4	676.104	-0.0974	948.113	4
4.51613	-123.186	648.832	-0.3044	867.259	4
4.67742	-118.306	649.759	-0.1242	837.006	4
4.83871	-113.038	624.039	0.4118	756.444	4
5	-109.586	632.453	-1.0616	709.101	4
0	-512	0	-256	0	5
0.16129	-512	0	-256	0	5
0.322581	-512	0	-256	0	5
0.483871	-512	0	-256	0	5
0.645161	-511.994	0.051159	-255.998	0.00319744	5
0.806452	-511.897	0.81495	-255.974	0.0509344	5
0.967742	-511.392	5.07465	-255.846	0.332961	5
1.12903	-510.115	15.5771	-255.514	1.0764	5
1.29032	-507.327	40.5596	-254.765	3.10576	5
1.45161	-502	86.9152	-253.276	7.49913	5
1.6129	-492.946	180.445	-250.59	18.2985	5
1.77419	-478.99	318.434	-245.992	43.7867	5
1.93548	-458.182	579.829	-238.317	111.78	5
2.09677	-425.469	1060.47	-221.686	579.521	5
2.25806	-375.597	1817.59	11.648	36756.2	5
2.41935	-318.827	2095.52	-8.5344	21148.1	5
2.58065	-270.192	1430.95	5.4106	9594.35	5
2.74194	-241.702	1144.48	3.5944	5345.82	5
2.90323	-220.852	986.131	2.8526	3635.14	5
3.06452	-203.197	904.337	0.8534	2700.09	5
3.22581	-189.818	824.316	-3.3726	2255.01	5
3.3871	-177.394	807.326	1.2806	1761.13	5
3.54839	-166.417	758.879	-1.2144	1509.12	5
3.70968	-156.81	752.321	0.2058	1323.67	5
3.87097	-148.857	713.835	-1.0004	1182.73	5
4.03226	-140.967	699.96	0.3746	1074.49	5
4.19355	-134.569	681.392	0.1602	932.085	5
4.35484	-128.59	662.521	0.9308	890.974	5
4.51613	-122.757	643.965	-0.7092	859.642	5
4.67742	-118.626	648.594	-0.2892	804.895	5
4.83871	-114.477	636.14	0.3954	767.668	5
5	-109.803	625.408	-0.1202	725.536	5
0	-512	0	256	0	6
0.16129	-512	0	256	0	6
0.322581	-512	0	256	0	6
0.483871	-512	0	256	0	6
0.645161	-511.99	0.0767078	255.998	0.00479424	6
0.806452	-511.872	1.02212	255.968	0.064576	6
0.967742	-511.477	4.32028	255.867	0.283617	6
1.12903	-510.043	16.3278	255.497	1.12419	6
1.29032	-507.17	42.483	254.72	3.2584	6
1.45161	-502.028	87.8648	253.288	7.46563	6
1.6129	-492.672	186.114	250.487	19.3136	6
1.77419	-479.24	325.937	246.11	43.8694	6
1.93548	-457.658	583.595	237.956	115.551	6
2.09677	-424.111	1057.41	222.07	391.243	6
2.25806	-372.219	2015.07	58.0384	31938.1	6
2.41935	-314.18	1968.29	38.2154	18102.7	6
2.58065	-271.014	1459.59	25.2388	8857.96	6
2.74194	-242.66	1178.94	2.4282	5724.63	6
2.90323	-220.103	972.935	5.7484	3568.79	6
3.06452	-202.624	861.818	-0.17	2616.13	6
3.22581	-188.288	851.163	-1.2494	2087.95	6
3.3871	-176.811	803.905	0.1754	1842.79	6
3.54839	-165.602	757.339	-0.7288	1442.48	6
3.70968	-156.352	727.676	0.49	1254.39	6
3.87097	-149.266	720.879	0.6638	1177.39	6
